,Gene,Border,Divide,Uninfect,Infect
0,Plate_03/Testing/001002-1,36,3,115,38
1,Plate_03/Testing/001002-3,30,4,130,11
2,Plate_03/Testing/001002-4,37,1,118,28
3,Plate_03/Testing/001002-5,34,4,107,20
4,Plate_03/Testing/001004-10,9,1,32,5
5,Plate_03/Testing/001004-6,19,5,43,11
6,Plate_03/Testing/001004-8,25,3,58,13
7,Plate_03/Testing/001004-9,14,1,29,7
8,Plate_03/Testing/003007-1,10,1,27,5
9,Plate_03/Testing/003007-2,24,2,33,15
10,Plate_03/Testing/003007-4,8,0,14,3
11,Plate_03/Testing/003007-5,6,0,0,3
12,Plate_03/Testing/005007-10,21,5,50,11
13,Plate_03/Testing/005007-4,14,1,31,12
14,Plate_03/Testing/005007-7,9,2,21,14
15,Plate_03/Testing/005007-9,11,2,28,11
16,Plate_03/Testing/005016-1,0,0,3,2
17,Plate_03/Testing/005016-2,20,1,42,14
18,Plate_03/Testing/005016-4,1,0,4,5
19,Plate_03/Testing/005016-5,2,0,1,1
20,Plate_03/Testing/006012-10,6,0,11,2
21,Plate_03/Testing/006012-7,4,2,15,1
22,Plate_03/Testing/006012-8,7,1,24,7
23,Plate_03/Testing/006012-9,1,0,4,1
24,Plate_03/Testing/006013-1,25,0,36,11
25,Plate_03/Testing/006013-3,20,1,43,8
26,Plate_03/Testing/006013-4,13,0,43,8
27,Plate_03/Testing/006013-5,14,0,39,4
28,Plate_03/Testing/006015-6,8,0,39,8
29,Plate_03/Testing/006015-7,12,0,26,5
30,Plate_03/Testing/006015-8,11,0,37,9
31,Plate_03/Testing/006015-9,8,0,13,6
32,Plate_03/Testing/006018-10,25,2,69,15
33,Plate_03/Testing/006018-6,15,0,29,18
34,Plate_03/Testing/006018-8,27,4,71,29
35,Plate_03/Testing/006018-9,21,0,40,15
36,Plate_03/Testing/006020-1,17,1,38,16
37,Plate_03/Testing/006020-2,24,1,53,15
38,Plate_03/Testing/006020-3,17,0,50,13
39,Plate_03/Testing/006020-5,2,0,12,4
40,Plate_03/Testing/007016-2,11,0,33,5
41,Plate_03/Testing/007016-3,25,1,52,10
42,Plate_03/Testing/007016-4,14,0,12,6
43,Plate_03/Testing/007016-5,14,1,29,2
44,Plate_03/Testing/008020-2,6,0,10,10
45,Plate_03/Testing/008020-3,13,4,36,11
46,Plate_03/Testing/008020-4,3,0,5,5
47,Plate_03/Testing/008020-5,6,0,18,6
48,Plate_03/Testing/012008-2,13,0,39,13
49,Plate_03/Testing/012008-3,12,1,42,13
50,Plate_03/Testing/012008-4,5,0,13,5
51,Plate_03/Testing/012008-5,4,1,9,3
52,Plate_03/Testing/012010-10,8,0,19,9
53,Plate_03/Testing/012010-6,24,3,34,6
54,Plate_03/Testing/012010-8,12,0,36,8
55,Plate_03/Testing/012010-9,11,1,39,4
56,Plate_03/Testing/012012-1,15,1,26,11
57,Plate_03/Testing/012012-2,14,0,30,11
58,Plate_03/Testing/012012-3,16,0,49,13
59,Plate_03/Testing/012012-5,12,0,28,8
60,Plate_03/Testing/012016-6,6,1,23,7
61,Plate_03/Testing/012016-7,7,0,13,11
62,Plate_03/Testing/012016-8,9,0,16,8
63,Plate_03/Testing/012016-9,11,0,27,7
64,Plate_03/Testing/012017-10,3,0,25,5
65,Plate_03/Testing/012017-7,5,0,19,7
66,Plate_03/Testing/012017-8,12,0,16,1
67,Plate_03/Testing/012017-9,5,0,22,5
68,Plate_03/Testing/012018-1,15,2,38,18
69,Plate_03/Testing/012018-2,7,6,56,7
70,Plate_03/Testing/012018-3,9,3,22,13
71,Plate_03/Testing/012018-4,17,3,39,13
72,Plate_03/Testing/013015-1,19,5,83,18
73,Plate_03/Testing/013015-3,24,1,66,18
74,Plate_03/Testing/013015-4,14,1,68,15
75,Plate_03/Testing/013015-5,20,2,84,13
76,Plate_03/Testing/013018-10,3,0,4,0
77,Plate_03/Testing/013018-6,8,0,21,7
78,Plate_03/Testing/013018-7,5,0,8,5
79,Plate_03/Testing/013018-9,6,0,6,14
80,Plate_04/Testing/006009-1,8,0,12,2
81,Plate_04/Testing/006009-2,7,0,20,1
82,Plate_04/Testing/006009-3,8,1,23,3
83,Plate_04/Testing/006009-4,6,2,25,7
84,Plate_04/Testing/007010-10,8,0,17,7
85,Plate_04/Testing/007010-7,4,1,13,6
86,Plate_04/Testing/007010-8,7,0,12,3
87,Plate_04/Testing/007010-9,3,1,17,10
88,Plate_04/Testing/007011-1,8,1,28,19
89,Plate_04/Testing/007011-10,8,1,35,12
90,Plate_04/Testing/007011-2,16,4,59,20
91,Plate_04/Testing/007011-3,15,0,41,17
92,Plate_04/Testing/007012-2,11,4,54,8
93,Plate_04/Testing/007012-3,14,0,21,16
94,Plate_04/Testing/007012-4,9,0,22,16
95,Plate_04/Testing/007012-5,7,0,13,11
96,Plate_04/Testing/007013-10,18,1,20,15
97,Plate_04/Testing/007013-6,15,1,24,10
98,Plate_04/Testing/007013-7,2,0,14,5
99,Plate_04/Testing/007013-9,13,1,17,5
100,Plate_04/Testing/007015-2,18,1,36,23
101,Plate_04/Testing/007015-3,10,1,37,17
102,Plate_04/Testing/007015-4,6,0,8,10
103,Plate_04/Testing/007015-5,14,1,35,9
104,Plate_04/Testing/007021-10,16,1,49,16
105,Plate_04/Testing/007021-5,21,2,77,12
106,Plate_04/Testing/007021-6,19,3,36,5
107,Plate_04/Testing/007021-9,15,2,27,7
108,Plate_04/Testing/007023-1,27,1,43,13
109,Plate_04/Testing/007023-2,15,0,60,9
110,Plate_04/Testing/007023-3,17,0,32,9
111,Plate_04/Testing/007023-4,15,1,54,16
112,Plate_04/Testing/008002-10,27,2,78,21
113,Plate_04/Testing/008002-7,27,1,75,20
114,Plate_04/Testing/008002-8,28,8,103,24
115,Plate_04/Testing/008002-9,27,6,60,25
116,Plate_04/Testing/008005-10,19,3,72,13
117,Plate_04/Testing/008005-6,25,5,83,17
118,Plate_04/Testing/008005-7,20,4,77,16
119,Plate_04/Testing/008005-8,22,6,92,12
120,Plate_04/Testing/008007-1,9,2,26,4
121,Plate_04/Testing/008007-2,11,0,33,9
122,Plate_04/Testing/008007-3,4,1,14,11
123,Plate_04/Testing/008007-5,2,1,11,0
124,Plate_04/Testing/008009-10,7,0,45,9
125,Plate_04/Testing/008009-6,17,2,43,9
126,Plate_04/Testing/008009-8,7,2,31,9
127,Plate_04/Testing/008009-9,15,2,37,11
128,Plate_04/Testing/008010-10,21,1,88,9
129,Plate_04/Testing/008010-6,24,2,71,11
130,Plate_04/Testing/008010-7,19,5,61,6
131,Plate_04/Testing/008010-9,21,5,56,4
132,Plate_04/Testing/008012-1,26,3,56,10
133,Plate_04/Testing/008012-2,19,2,38,11
