Model,FP,LR,BZ,mAP
Cascade_R50,FP16,0.05,8,0.769
Cascade_R50,FP32,0.05,5,0.768
Cascade_R101,FP16,0.05,8,0.77
Cascade_R101,FP32,0.05,5,0.763
Mask_R50,FP16,0.01,4,0.821
Mask_R50,FP32,0.01,8,0.807
Mask_R101,FP16,0.01,4,0.816
Mask_R101,FP32,0.01,5,0.817
Faster_R50,FP16,0.05,8,0.814
Faster_R50,FP32,0.05,8,0.814
Faster_R101,FP16,0.05,8,0.819
Faster_R101,FP32,0.05,8,0.826
Retina_R50,FP16,0.01,4,0.759
Retina_R50,FP32,0.01,8,0.749
Retina_R101,FP16,0.05,8,0.758
Retina_R101,FP32,0.05,8,0.749
