,epoch,LR,mAP,Batch_Size
0,1.0,0.0002,0.385,BS_2
1,2.0,0.0002,0.633,BS_2
2,3.0,0.0002,0.67,BS_2
3,4.0,0.0002,0.667,BS_2
4,5.0,0.0002,0.692,BS_2
5,6.0,0.0002,0.69,BS_2
6,7.0,0.0002,0.701,BS_2
7,8.0,0.0002,0.7,BS_2
8,9.0,0.0002,0.709,BS_2
9,10.0,0.0002,0.709,BS_2
10,1.0,0.0002,0.217,BS_4
11,2.0,0.0002,0.399,BS_4
12,3.0,0.0002,0.573,BS_4
13,4.0,0.0002,0.626,BS_4
14,5.0,0.0002,0.656,BS_4
15,6.0,0.0002,0.668,BS_4
16,7.0,0.0002,0.676,BS_4
17,8.0,0.0002,0.691,BS_4
18,9.0,0.0002,0.685,BS_4
19,10.0,0.0002,0.687,BS_4
20,1.0,0.0002,0.204,BS_5
21,2.0,0.0002,0.311,BS_5
22,3.0,0.0002,0.455,BS_5
23,4.0,0.0002,0.59,BS_5
24,5.0,0.0002,0.62,BS_5
25,6.0,0.0002,0.65,BS_5
26,7.0,0.0002,0.662,BS_5
27,8.0,0.0002,0.665,BS_5
28,9.0,0.0002,0.672,BS_5
29,10.0,0.0002,0.673,BS_5
30,1.0,0.001,0.648,BS_2
31,2.0,0.001,0.709,BS_2
32,3.0,0.001,0.717,BS_2
33,4.0,0.001,0.701,BS_2
34,5.0,0.001,0.729,BS_2
35,6.0,0.001,0.73,BS_2
36,7.0,0.001,0.733,BS_2
37,8.0,0.001,0.741,BS_2
38,9.0,0.001,0.741,BS_2
39,10.0,0.001,0.746,BS_2
40,1.0,0.001,0.37,BS_4
41,2.0,0.001,0.658,BS_4
42,3.0,0.001,0.684,BS_4
43,4.0,0.001,0.705,BS_4
44,5.0,0.001,0.715,BS_4
45,6.0,0.001,0.721,BS_4
46,7.0,0.001,0.721,BS_4
47,8.0,0.001,0.732,BS_4
48,9.0,0.001,0.73,BS_4
49,10.0,0.001,0.73,BS_4
50,1.0,0.001,0.316,BS_5
51,2.0,0.001,0.622,BS_5
52,3.0,0.001,0.679,BS_5
53,4.0,0.001,0.683,BS_5
54,5.0,0.001,0.699,BS_5
55,6.0,0.001,0.718,BS_5
56,7.0,0.001,0.725,BS_5
57,8.0,0.001,0.72,BS_5
58,9.0,0.001,0.72,BS_5
59,10.0,0.001,0.723,BS_5
60,1.0,0.005,0.701,BS_2
61,2.0,0.005,0.725,BS_2
62,3.0,0.005,0.734,BS_2
63,4.0,0.005,0.722,BS_2
64,5.0,0.005,0.746,BS_2
65,6.0,0.005,0.744,BS_2
66,7.0,0.005,0.746,BS_2
67,8.0,0.005,0.759,BS_2
68,9.0,0.005,0.762,BS_2
69,10.0,0.005,0.765,BS_2
70,1.0,0.005,0.648,BS_4
71,2.0,0.005,0.706,BS_4
72,3.0,0.005,0.727,BS_4
73,4.0,0.005,0.721,BS_4
74,5.0,0.005,0.724,BS_4
75,6.0,0.005,0.741,BS_4
76,7.0,0.005,0.753,BS_4
77,8.0,0.005,0.734,BS_4
78,9.0,0.005,0.756,BS_4
79,10.0,0.005,0.758,BS_4
80,1.0,0.005,0.589,BS_5
81,2.0,0.005,0.687,BS_5
82,3.0,0.005,0.714,BS_5
83,4.0,0.005,0.733,BS_5
84,5.0,0.005,0.732,BS_5
85,6.0,0.005,0.746,BS_5
86,7.0,0.005,0.748,BS_5
87,8.0,0.005,0.747,BS_5
88,9.0,0.005,0.75,BS_5
89,10.0,0.005,0.753,BS_5
90,1.0,0.01,0.68,BS_2
91,2.0,0.01,0.737,BS_2
92,3.0,0.01,0.729,BS_2
93,4.0,0.01,0.696,BS_2
94,5.0,0.01,0.754,BS_2
95,6.0,0.01,0.742,BS_2
96,7.0,0.01,0.728,BS_2
97,8.0,0.01,0.747,BS_2
98,9.0,0.01,0.763,BS_2
99,10.0,0.01,0.765,BS_2
100,1.0,0.01,0.673,BS_4
101,2.0,0.01,0.706,BS_4
102,3.0,0.01,0.729,BS_4
103,4.0,0.01,0.725,BS_4
104,5.0,0.01,0.741,BS_4
105,6.0,0.01,0.738,BS_4
106,7.0,0.01,0.762,BS_4
107,8.0,0.01,0.752,BS_4
108,9.0,0.01,0.758,BS_4
109,10.0,0.01,0.764,BS_4
110,1.0,0.01,0.661,BS_5
111,2.0,0.01,0.717,BS_5
112,3.0,0.01,0.698,BS_5
113,4.0,0.01,0.722,BS_5
114,5.0,0.01,0.741,BS_5
115,6.0,0.01,0.733,BS_5
116,7.0,0.01,0.743,BS_5
117,8.0,0.01,0.76,BS_5
118,9.0,0.01,0.759,BS_5
119,10.0,0.01,0.76,BS_5
120,1.0,0.05,0.693,BS_2
121,2.0,0.05,0.705,BS_2
122,3.0,0.05,0.726,BS_2
123,4.0,0.05,0.702,BS_2
124,5.0,0.05,0.733,BS_2
125,6.0,0.05,0.716,BS_2
126,7.0,0.05,0.73,BS_2
127,8.0,0.05,0.723,BS_2
128,9.0,0.05,0.744,BS_2
129,10.0,0.05,0.755,BS_2
130,1.0,0.05,0.707,BS_4
131,2.0,0.05,0.696,BS_4
132,3.0,0.05,0.712,BS_4
133,4.0,0.05,0.732,BS_4
134,5.0,0.05,0.744,BS_4
135,6.0,0.05,0.734,BS_4
136,7.0,0.05,0.724,BS_4
137,8.0,0.05,0.719,BS_4
138,9.0,0.05,0.763,BS_4
139,10.0,0.05,0.764,BS_4
140,1.0,0.05,0.702,BS_5
141,2.0,0.05,0.638,BS_5
142,3.0,0.05,0.732,BS_5
143,4.0,0.05,0.717,BS_5
144,5.0,0.05,0.72,BS_5
145,6.0,0.05,0.721,BS_5
146,7.0,0.05,0.75,BS_5
147,8.0,0.05,0.727,BS_5
148,9.0,0.05,0.768,BS_5
149,10.0,0.05,0.766,BS_5
150,1.0,4e-05,0.213,BS_2
151,2.0,4e-05,0.316,BS_2
152,3.0,4e-05,0.402,BS_2
153,4.0,4e-05,0.512,BS_2
154,5.0,4e-05,0.571,BS_2
155,6.0,4e-05,0.603,BS_2
156,7.0,4e-05,0.625,BS_2
157,8.0,4e-05,0.63,BS_2
158,9.0,4e-05,0.636,BS_2
159,10.0,4e-05,0.636,BS_2
160,1.0,4e-05,0.095,BS_4
161,2.0,4e-05,0.21,BS_4
162,3.0,4e-05,0.269,BS_4
163,4.0,4e-05,0.317,BS_4
164,5.0,4e-05,0.362,BS_4
165,6.0,4e-05,0.41,BS_4
166,7.0,4e-05,0.456,BS_4
167,8.0,4e-05,0.505,BS_4
168,9.0,4e-05,0.507,BS_4
169,10.0,4e-05,0.511,BS_4
170,1.0,4e-05,0.06,BS_5
171,2.0,4e-05,0.185,BS_5
172,3.0,4e-05,0.228,BS_5
173,4.0,4e-05,0.272,BS_5
174,5.0,4e-05,0.316,BS_5
175,6.0,4e-05,0.359,BS_5
176,7.0,4e-05,0.396,BS_5
177,8.0,4e-05,0.445,BS_5
178,9.0,4e-05,0.444,BS_5
179,10.0,4e-05,0.447,BS_5
