,epoch,LR,mAP,Batch_Size
0,1.0,0.0002,0.443,BS_2
1,2.0,0.0002,0.695,BS_2
2,3.0,0.0002,0.733,BS_2
3,4.0,0.0002,0.75,BS_2
4,5.0,0.0002,0.753,BS_2
5,6.0,0.0002,0.761,BS_2
6,7.0,0.0002,0.769,BS_2
7,8.0,0.0002,0.772,BS_2
8,9.0,0.0002,0.777,BS_2
9,10.0,0.0002,0.78,BS_2
10,1.0,0.0002,0.19,BS_4
11,2.0,0.0002,0.444,BS_4
12,3.0,0.0002,0.65,BS_4
13,4.0,0.0002,0.701,BS_4
14,5.0,0.0002,0.722,BS_4
15,6.0,0.0002,0.736,BS_4
16,7.0,0.0002,0.744,BS_4
17,8.0,0.0002,0.75,BS_4
18,9.0,0.0002,0.754,BS_4
19,10.0,0.0002,0.759,BS_4
20,1.0,0.0002,0.04,BS_8
21,2.0,0.0002,0.133,BS_8
22,3.0,0.0002,0.295,BS_8
23,4.0,0.0002,0.455,BS_8
24,5.0,0.0002,0.595,BS_8
25,6.0,0.0002,0.662,BS_8
26,7.0,0.0002,0.688,BS_8
27,8.0,0.0002,0.705,BS_8
28,9.0,0.0002,0.715,BS_8
29,10.0,0.0002,0.726,BS_8
30,1.0,0.001,0.711,BS_2
31,2.0,0.001,0.759,BS_2
32,3.0,0.001,0.776,BS_2
33,4.0,0.001,0.783,BS_2
34,5.0,0.001,0.795,BS_2
35,6.0,0.001,0.8,BS_2
36,7.0,0.001,0.809,BS_2
37,8.0,0.001,0.809,BS_2
38,9.0,0.001,0.811,BS_2
39,10.0,0.001,0.815,BS_2
40,1.0,0.001,0.468,BS_4
41,2.0,0.001,0.699,BS_4
42,3.0,0.001,0.75,BS_4
43,4.0,0.001,0.77,BS_4
44,5.0,0.001,0.773,BS_4
45,6.0,0.001,0.782,BS_4
46,7.0,0.001,0.788,BS_4
47,8.0,0.001,0.793,BS_4
48,9.0,0.001,0.798,BS_4
49,10.0,0.001,0.801,BS_4
50,1.0,0.001,0.212,BS_8
51,2.0,0.001,0.496,BS_8
52,3.0,0.001,0.679,BS_8
53,4.0,0.001,0.721,BS_8
54,5.0,0.001,0.74,BS_8
55,6.0,0.001,0.753,BS_8
56,7.0,0.001,0.757,BS_8
57,8.0,0.001,0.764,BS_8
58,9.0,0.001,0.773,BS_8
59,10.0,0.001,0.78,BS_8
60,1.0,0.005,0.749,BS_2
61,2.0,0.005,0.79,BS_2
62,3.0,0.005,0.803,BS_2
63,4.0,0.005,0.794,BS_2
64,5.0,0.005,0.808,BS_2
65,6.0,0.005,0.82,BS_2
66,7.0,0.005,0.814,BS_2
67,8.0,0.005,0.823,BS_2
68,9.0,0.005,0.82,BS_2
69,10.0,0.005,0.822,BS_2
70,1.0,0.005,0.7,BS_4
71,2.0,0.005,0.761,BS_4
72,3.0,0.005,0.787,BS_4
73,4.0,0.005,0.791,BS_4
74,5.0,0.005,0.801,BS_4
75,6.0,0.005,0.809,BS_4
76,7.0,0.005,0.813,BS_4
77,8.0,0.005,0.812,BS_4
78,9.0,0.005,0.821,BS_4
79,10.0,0.005,0.819,BS_4
80,1.0,0.005,0.437,BS_8
81,2.0,0.005,0.728,BS_8
